"REGION","CODE","PROVINCE","MARKS","DISTRICT","LOCATION","BRANCH","DISTRICT_NAME","ID","DEPT","TEAM","GROUPS","LENGTH_CODE"
"MN","VUCD","Tp Hồ Chí Minh","","Châu Đức","","","",1838,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",4
"MN","VUBR","Tp Hồ Chí Minh","","TX Bà rịa","","","",1839,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",4
"MN","MBF_BDTM","Tp Hồ Chí Minh","","TX. Thủ Dầu Một","","","",1840,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",8
"MN","MBF_BDTA","Tp Hồ Chí Minh","","Thuận An","","","",1841,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",8
"MN","MBF_BDPG","Tp Hồ Chí Minh","","Phú Giáo","","","",1842,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",8
"MN","MBF_BDDT","Tp Hồ Chí Minh","","Dầu Tiếng","","","",1843,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",8
"MN","MBF_BDDA","Tp Hồ Chí Minh","","Dĩ an","","","",1844,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",8
"MN","MBF_BDBU","Tp Hồ Chí Minh","","Bắc Tân Uyên","","","",1845,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",8
"MN","BDPG","Tp Hồ Chí Minh","","Phú Giáo","","","",1846,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",4
"MN","BDTM","Tp Hồ Chí Minh","","TX. Thủ Dầu Một","","","",1847,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",4
"MN","BDTA","Tp Hồ Chí Minh","","Thuận An","","","",1848,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",4
"MN","BDTU","Tp Hồ Chí Minh","","Tân Uyên","","","",1849,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",4
"MN","MBF_BDBC","Tp Hồ Chí Minh","","Bến Cát","","","",1850,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",8
"MN","MBF_BDBB","Tp Hồ Chí Minh","","Bàu Bàng","","","",1851,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",8
"MN","BDBC","Tp Hồ Chí Minh","","Bến Cát","","","",1852,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",4
"MN","BDBB","Tp Hồ Chí Minh","","Bàu Bàng","","","",1853,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",4
"MN","BDBU","Tp Hồ Chí Minh","","Bắc Tân Uyên","","","",1854,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",4
"MN","MBF_BDTU","Tp Hồ Chí Minh","","Tân Uyên","","","",1856,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",8
"MN","BDDT","Tp Hồ Chí Minh","","Dầu Tiếng","","","",1857,"ĐVT Bình Dương","TVT Bình Dương","ĐVT Bình Dương",4
"MN","MBF_BPDP","Tỉnh Đồng Nai","","Đồng Phú","","","",1858,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",8
"MN","MBF_BPDX","Tỉnh Đồng Nai","","TX. Đồng xoài","","","",1859,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",8
"MN","MBF_BPGM","Tỉnh Đồng Nai","","Bù Gia Mập","","","",1860,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",8
"MN","MBF_BPHQ","Tỉnh Đồng Nai","","Hớn Quản","","","",1861,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",8
"MN","MBF_BPLN","Tỉnh Đồng Nai","","Lộc Ninh","","","",1862,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",8
"MN","MBF_BPPL","Tỉnh Đồng Nai","","TX. Phước Long","","","",1863,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",8
"MN","MBF_BPPR","Tỉnh Đồng Nai","","Phú Riềng","","","",1864,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",8
"MN","BPDP","Tỉnh Đồng Nai","","Đồng Phú","","","",1865,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","BPHQ","Tỉnh Đồng Nai","","Hớn Quản","","","",1866,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","BPDA","Tỉnh Đồng Nai","","Bù Đăng","","","",1867,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","BPDO","Tỉnh Đồng Nai","","Bù Đốp","","","",1868,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","BPGM","Tỉnh Đồng Nai","","Bù Gia Mập","","","",1869,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","BPCT","Tỉnh Đồng Nai","","Chơn Thành","","","",1870,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","BPLN","Tỉnh Đồng Nai","","Lộc Ninh","","","",1871,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","BPBL","Tỉnh Đồng Nai","","TX. Bình Long","","","",1872,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","BPDX","Tỉnh Đồng Nai","","TX. Đồng xoài","","","",1873,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","BPPL","Tỉnh Đồng Nai","","TX. Phước Long","","","",1874,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","BPPR","Tỉnh Đồng Nai","","Phú Riềng","","","",1875,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",4
"MN","AGG-BPCDXI","Tỉnh Đồng Nai","","TX. Đồng xoài","","","",1876,"ĐVT Bình Dương","TVT Bình Phước","ĐVT Bình Dương",10
