"OBJECTNAME","RNCNAME","RNCDESCRIPTION","WBTSNAME","BTSADDITIONALINFO","CELLNAME","CID","LAC","RAC","SAC","PRISCRCODE","UARFCN","URAID","RNCID","WBTSID","WCELID","OMCNAME","DATEADDED","BTSNAMEALT"
"PLMN-PLMN/RNC-371/WBTS-146/WCEL-8","RDNST11N","","BDTP30","","BDTP30B","","","","","","","","371","146","8","",24-DEC-21 09:00:09,""
"PLMN-PLMN/RNC-371/WBTS-159/WCEL-2","RDNST11N","","BDTP31","","BDTP31B","","","","","","","","371","159","2","",17-AUG-23 00:00:00,""
"PLMN-PLMN/RNC-371/WBTS-159/WCEL-4","RDNST11N","","BDTP31","","BDTP31D","","","","","","","","371","159","4","",27-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-371/WBTS-215/WCEL-2","RDNST11N","","BDTP34","","BDTP34B","","","","","","","","371","215","2","",17-AUG-23 00:00:00,""
"PLMN-PLMN/RNC-371/WBTS-215/WCEL-4","RDNST11N","","BDTP34","","BDTP34D","","","","","","","","371","215","4","",27-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-371/WBTS-687/WCEL-3","RDNST11N","","BDTP42","","BDTP42C","","","","","","","","371","687","3","",17-AUG-23 00:00:00,""
"PLMN-PLMN/RNC-371/WBTS-244/WCEL-1","RDNST11N","","BDTP44","","BDTP44A","","","","","","","","371","244","1","",17-AUG-23 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-515/WCEL-11","RDNST14N","","KTNH06","","KTNH06X","","","","","","","","375","515","11","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-516/WCEL-12","RDNST14N","","KTNH07","","KTNH07Y","","","","","","","","375","516","12","",02-NOV-22 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-517/WCEL-13","RDNST14N","","KTNH08","","KTNH08Z","","","","","","","","375","517","13","",02-NOV-22 00:00:00,""
