"BSCID","VENDOR","REGION","TRAU","TRX","MSCID","LAUNCH_DATE","TEAM","DEPT","SUB_TEAM","NE_GROUP","LOCATION_NAME","SMS_CSSR","SMS_DRC","NSEI","ACTIVE_DATE","PROVINCE","LONGITUDE","LATITUDE","NE_TYPE"
"BTVH02H","HUAWEI","MN",,,"",,"TVT Trà Vinh","ĐVT Tiền Giang","TVT Trà Vinh","","Trà Vinh",,,"",,"Trà Vinh","","","BSC"
"BTVH01H","HUAWEI","MN",,,"",,"TVT Trà Vinh","ĐVT Tiền Giang","TVT Trà Vinh","","Trà Vinh",,,"",,"Trà Vinh","","","BSC"
"MBHDHD1H","HUAWEI","MB",,,"",,"TVT Hải Dương","ĐVT Hải Phòng","TVT Hải Dương","","Hải Dương",,,"",,"Hải Dương","","","BSC"
"BVLG03E","ERICSSON","MN",,,"",,"TVT Vĩnh Long","ĐVT Tiền Giang","TVT Vĩnh Long","","TP Vĩnh Long",,,"",,"Vĩnh Long","","","BSC"
"BVLG02E","ERICSSON","MN",,,"",,"TVT Vĩnh Long","ĐVT Tiền Giang","TVT Vĩnh Long","","TP Vĩnh Long",,,"",,"Vĩnh Long","","","BSC"
"BVLG01E","ERICSSON","MN",,,"",,"TVT Vĩnh Long","ĐVT Tiền Giang","TVT Vĩnh Long","","TP Vĩnh Long",,,"",,"Vĩnh Long","","","BSC"
"MBHDHD2H","HUAWEI","MB",,,"",,"TVT Hải Dương","ĐVT Hải Phòng","TVT Hải Dương","","Hải Dương",,,"",,"Hải Dương","","","BSC"
"MBHPHA1H","HUAWEI","MB",,,"",,"TVT Hải Phòng","ĐVT Hải Phòng","TVT Hải Phòng","","Lê Chân",,,"",,"Hải Phòng","","","BSC"
"MBHPHA2H","HUAWEI","MB",,,"",,"TVT Hải Phòng","ĐVT Hải Phòng","TVT Hải Phòng","","Lê Chân",,,"",,"Hải Phòng","","","BSC"
"BAGG03E","ERICSSON","MN",,,"",,"TVT An Giang","ĐVT Cần Thơ","TVT An Giang","","Long Xuyên",,,"",,"An Giang","","","BSC"
"BAGG02E","ERICSSON","MN",,,"",,"TVT An Giang","ĐVT Cần Thơ","TVT An Giang","","Long Xuyên",,,"",,"An Giang","","","BSC"
"BAGG01E","ERICSSON","MN",,,"",,"TVT An Giang","ĐVT Cần Thơ","TVT An Giang","","Long Xuyên",,,"",,"An Giang","","","BSC"
"BAGI01E","ERICSSON","MN",,,"",,"TVT An Giang","ĐVT Cần Thơ","TVT An Giang","","Long Xuyên",,,"",,"An Giang","","","BSC"
"BVTBR1N","NOKIA SIEMENS","MN",,,"",,"TVT Vũng Tàu","ĐVT Đồng Nai","TVT Vũng Tàu","","Tp. Vũng Tàu",,,"",,"Bà Rịa Vũng Tàu","","","BSC"
"BVTVT1N","NOKIA SIEMENS","MN",,,"",,"TVT Vũng Tàu","ĐVT Đồng Nai","TVT Vũng Tàu","","Tp. Vũng Tàu",,,"",,"Bà Rịa Vũng Tàu","","","BSC"
"MBHPHA3H","HUAWEI","MB",,,"",,"TVT Hải Phòng","ĐVT Hải Phòng","TVT Hải Phòng","","Lê Chân",,,"",,"Hải Phòng","","","BSC"
"MBHPHA4H","HUAWEI","MB",,,"",,"TVT Hải Phòng","ĐVT Hải Phòng","TVT Hải Phòng","","Lê Chân",,,"",,"Hải Phòng","","","BSC"
"HOA_BINH_1","ALCATEL","MB",,,"",,"TVT Hòa Bình","ĐVT Nam Định","TVT Hòa Bình","","Hòa Bình",,,"",,"Hòa Bình","","","BSC"
"BBLU04Z","ZTE","MN",,,"",,"TVT Bạc Liêu","ĐVT Cần Thơ","TVT Bạc Liêu","","Bạc Liêu",,,"",,"Bạc Liêu","","","BSC"
"BBLU01Z","ZTE","MN",,,"",,"TVT Bạc Liêu","ĐVT Cần Thơ","TVT Bạc Liêu","","Bạc Liêu",,,"",,"Bạc Liêu","","","BSC"
"BNDND1H","HUAWEI","MB",,,"",,"TVT Nam Định","ĐVT Nam Định","TVT Nam Định","","Nam Định",,,"",,"Nam Định","","","BSC"
"NINH_BINH_1","ALCATEL","MB",,,"",,"TVT Ninh Bình","ĐVT Nam Định","TVT Ninh Bình","","Ninh Bình",,,"",,"Ninh Bình","","","BSC"
"BBTE04H","HUAWEI","MN",,,"",,"TVT Bến Tre","ĐVT Tiền Giang","TVT Bến Tre","","Bến Tre",,,"",,"Bến Tre","","","BSC"
"BBTE02H","HUAWEI","MN",,,"",,"TVT Bến Tre","ĐVT Tiền Giang","TVT Bến Tre","","Bến Tre",,,"",,"Bến Tre","","","BSC"
"BBTE03H","HUAWEI","MN",,,"",,"TVT Bến Tre","ĐVT Tiền Giang","TVT Bến Tre","","Bến Tre",,,"",,"Bến Tre","","","BSC"
"BQNH02E","ERICSSON","MT",,,"",,"TVT Bình Định","ĐVT Bình Định","TVT Bình Định","","Qui Nhơn",,,"",,"Bình Định","","","BSC"
"BQNH03E","ERICSSON","MT",,,"",,"TVT Bình Định","ĐVT Bình Định","TVT Bình Định","","Qui Nhơn",,,"",,"Bình Định","","","BSC"
"BQNH04E","ERICSSON","MT",,,"",,"TVT Bình Định","ĐVT Bình Định","TVT Bình Định","","Qui Nhơn",,,"",,"Bình Định","","","BSC"
"BBDTM1N","NOKIA SIEMENS","MN",,,"",,"TVT Bình Dương","ĐVT Bình Dương","TVT Bình Dương","","TX. Thủ Dầu Một",,,"",,"Bình Dương","","","BSC"
"BBDPG1A","ALCATEL","MN",,,"",,"TVT Bình Dương","ĐVT Bình Dương","TVT Bình Dương","","Phú Giáo",,,"",,"Bình Dương","","","BSC"
"BBDDT2A","ALCATEL","MN",,,"",,"TVT Bình Dương","ĐVT Bình Dương","TVT Bình Dương","","Dầu Tiếng",,,"",,"Bình Dương","","","BSC"
"BBDBC2A","ALCATEL","MN",,,"",,"TVT Bình Dương","ĐVT Bình Dương","TVT Bình Dương","","Bến Cát",,,"",,"Bình Dương","","","BSC"
"BBDTA1N","NOKIA SIEMENS","MN",,,"",,"TVT Bình Phước","ĐVT Bình Dương","TVT Bình Phước","","Thuận An",,,"",,"Bình Dương","","","BSC"
"BBPDX2N","NOKIA SIEMENS","MN",,,"",,"TVT Bình Phước","ĐVT Bình Dương","TVT Bình Phước","","TX. Đồng xoài",,,"",,"Bình Phước","","","BSC"
"BBPGM1A","ALCATEL","MN",,,"",,"TVT Bình Phước","ĐVT Bình Dương","TVT Bình Phước","","TX. Đồng xoài",,,"",,"Bình Phước","","","BSC"
"BBPLN1A","ALCATEL","MN",,,"",,"TVT Bình Phước","ĐVT Bình Dương","TVT Bình Phước","","Lộc Ninh",,,"",,"Bình Phước","","","BSC"
"BBPDX1A","ALCATEL","MN",,,"",,"TVT Bình Phước","ĐVT Bình Dương","TVT Bình Phước","","TX. Đồng xoài",,,"",,"Bình Phước","","","BSC"
"BBPBL1A","ALCATEL","MN",,,"",,"TVT Bình Phước","ĐVT Bình Dương","TVT Bình Phước","","TX. Bình Long",,,"",,"Bình Phước","","","BSC"
"BBTTP1A","ALCATEL","MN",,,"",,"TVT Bình Thuận","ĐVT Đồng Nai","TVT Bình Thuận","","Tp. Phan Thiết",,,"",,"Bình Thuận","","","BSC"
"BBTPT2A","ALCATEL","MN",,,"",,"TVT Bình Thuận","ĐVT Đồng Nai","TVT Bình Thuận","","Tp. Phan Thiết",,,"",,"Bình Thuận","","","BSC"
